match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62678,2,6,2,6,,,1948-01-01,Test
62679,2,6,2,6,,,1948-01-23,Test
62680,2,6,2,6,,,1948-02-06,Test
62681,4,1,0,,1,,1948-01-21,Test
62682,4,1,0,,1,,1948-02-11,Test
62683,4,1,4,1,,,1948-03-03,Test
62684,4,1,4,1,,,1948-03-27,Test
62685,1,2,2,1,,,1948-06-10,Test
62686,1,2,2,1,,,1948-06-24,Test
62687,1,2,0,,1,,1948-07-08,Test
62688,1,2,2,1,,,1948-07-22,Test
62689,1,2,2,1,,,1948-08-14,Test
62690,6,4,0,,1,,1948-11-10,Test
62691,6,4,0,,1,,1948-12-09,Test
62692,6,4,0,,1,,1948-12-31,Test
62693,6,4,4,6,,,1949-01-27,Test
62694,6,4,0,,1,,1949-02-04,Test
62695,3,1,1,3,,,1948-12-16,Test
62696,3,1,0,,1,,1948-12-27,Test
62697,3,1,0,,1,,1949-01-01,Test
62698,3,1,0,,1,,1949-02-12,Test
62699,3,1,1,3,,,1949-03-05,Test
62700,1,5,0,,1,,1949-06-11,Test
62701,1,5,0,,1,,1949-06-25,Test
62702,1,5,0,,1,,1949-07-23,Test
62703,1,5,0,,1,,1949-08-13,Test
62704,3,2,2,3,,,1949-12-24,Test
62705,3,2,2,3,,,1949-12-31,Test
62706,3,2,2,3,,,1950-01-20,Test
62707,3,2,0,,1,,1950-02-10,Test
62708,3,2,2,3,,,1950-03-03,Test
62709,1,4,1,4,,,1950-06-08,Test
62710,1,4,4,1,,,1950-06-24,Test
62711,1,4,4,1,,,1950-07-20,Test
62712,1,4,4,1,,,1950-08-12,Test
62713,2,1,2,1,,,1950-12-01,Test
62714,2,1,2,1,,,1950-12-22,Test
62715,2,1,2,1,,,1951-01-05,Test
62716,2,1,2,1,,,1951-02-02,Test
62717,2,1,1,2,,,1951-02-23,Test
62718,5,1,0,,1,,1951-03-17,Test
62719,5,1,1,5,,,1951-03-24,Test
62720,1,3,3,1,,,1951-06-07,Test
62721,1,3,1,3,,,1951-06-21,Test
62722,1,3,1,3,,,1951-07-05,Test
62723,1,3,0,,1,,1951-07-26,Test
62724,1,3,1,3,,,1951-08-16,Test
62725,6,1,0,,1,,1951-11-02,Test
62726,6,1,0,,1,,1951-12-14,Test
62727,6,1,0,,1,,1951-12-30,Test
62728,6,1,1,6,,,1952-01-12,Test
62729,6,1,6,1,,,1952-02-06,Test
62730,2,4,2,4,,,1951-11-09,Test
62731,2,4,2,4,,,1951-11-30,Test
62732,2,4,4,2,,,1951-12-22,Test
62733,2,4,2,4,,,1951-12-31,Test
62734,2,4,2,4,,,1952-01-25,Test
62735,5,4,4,5,,,1952-02-08,Test
62736,5,4,0,,1,,1952-02-15,Test
62737,1,6,1,6,,,1952-06-05,Test
62738,1,6,1,6,,,1952-06-19,Test
62739,1,6,1,6,,,1952-07-17,Test
62740,1,6,0,,1,,1952-08-14,Test
62741,6,7,6,7,,,1952-10-16,Test
62742,6,7,7,6,,,1952-10-23,Test
62743,6,7,6,7,,,1952-11-13,Test
62744,6,7,0,,1,,1952-11-28,Test
62745,6,7,0,,1,,1952-12-12,Test
62746,2,3,2,3,,,1952-12-05,Test
62747,2,3,3,2,,,1952-12-24,Test
62748,2,3,2,3,,,1953-01-09,Test
